grid_code,STATE_ABBR,latitude,longitude
13.0000000,MT,47.859451090000000,-115.368857370000001
12.0000000,MT,47.877735999999999,-115.238953859999995
12.0000000,MT,47.895900709999999,-115.108977420000002
12.0000000,MT,47.913945120000001,-114.978928479999993
12.0000000,MT,47.931869100000000,-114.848807440000002
11.0000000,MT,47.949672520000000,-114.718614759999994
11.0000000,MT,47.967355269999999,-114.588350849999998
11.0000000,MT,47.984917220000000,-114.458016139999998
11.0000000,MT,48.036877099999998,-114.066591610000003
21.0000000,MT,48.053954679999997,-113.935978070000004
11.0000000,MT,48.070910859999998,-113.805295930000000
11.0000000,MT,48.087745540000000,-113.674545609999996
12.0000000,MT,48.104458590000000,-113.543727559999994
12.0000000,MT,48.121049900000003,-113.412842220000002
12.0000000,MT,48.137519359999999,-113.281890039999993
22.0000000,MT,48.153866850000000,-113.150871469999998
22.0000000,MT,48.170092259999997,-113.019786949999997
22.0000000,MT,48.186195470000001,-112.888636919999996
22.0000000,MT,48.202176369999997,-112.757421859999994
22.0000000,MT,48.218034860000003,-112.626142189999996
21.0000000,MT,48.233770810000003,-112.494798390000000
21.0000000,MT,48.249384110000001,-112.363390890000005
21.0000000,MT,48.264874669999998,-112.231920169999995
21.0000000,MT,48.280242370000003,-112.100386680000000
31.0000000,MT,48.295487090000002,-111.968790870000007
31.0000000,MT,48.310608739999999,-111.837133210000005
31.0000000,MT,48.325607210000001,-111.705414160000004
31.0000000,MT,48.340482379999997,-111.573634179999999
31.0000000,MT,48.355234160000002,-111.441793750000002
31.0000000,MT,48.369862439999999,-111.309893310000007
31.0000000,MT,48.384367109999999,-111.177933350000004
31.0000000,MT,48.398748079999997,-111.045914330000002
31.0000000,MT,48.413005230000003,-110.913836730000000
31.0000000,MT,48.427138470000003,-110.781700999999998
31.0000000,MT,48.441147690000001,-110.649507630000002
31.0000000,MT,48.455032799999998,-110.517257090000001
31.0000000,MT,48.468793689999998,-110.384949860000006
21.0000000,MT,48.482430270000002,-110.252586410000006
21.0000000,MT,48.495942440000000,-110.120167219999999
31.0000000,MT,48.509330100000000,-109.987692760000002
31.0000000,MT,48.522593149999999,-109.855163529999999
31.0000000,MT,48.535731490000003,-109.722579999999994
21.0000000,MT,48.548745040000000,-109.589942660000006
21.0000000,MT,48.561633700000002,-109.457251979999995
31.0000000,MT,48.574397370000000,-109.324508460000004
31.0000000,MT,48.587035960000001,-109.191712580000001
31.0000000,MT,48.599549379999999,-109.058864830000005
31.0000000,MT,48.611937540000000,-108.925965700000006
31.0000000,MT,48.624200340000002,-108.793015679999996
31.0000000,MT,48.636337699999999,-108.660015259999994
31.0000000,MT,48.648349529999997,-108.526964930000005
31.0000000,MT,48.660235739999997,-108.393865190000000
32.0000000,MT,48.671996249999999,-108.260716529999996
22.0000000,MT,48.683630950000001,-108.127519440000000
22.0000000,MT,48.695139779999998,-107.994274439999998
21.0000000,MT,48.706522649999997,-107.860982000000007
