grid_code,degrees,metres,protected
0.2610413,0.5477084,2064.6459961,1
0.2372112,0.9952518,2145.7072754,1
0.3245083,1.7906028,1742.2335205,1
0.1832887,1.1945183,1407.2591553,1
0.1981272,0.6493229,1329.4434814,1
0.2895233,0.4692858,1249.9382324,0
0.3711343,0.2755303,1207.9637451,0
0.4222358,0.2550184,1176.4421387,0
0.4959419,0.3126367,1139.2935791,0
0.7400371,0.3463365,1130.9550781,0
0.7838139,0.1790356,1045.8967285,0
0.8232443,0.1350637,1077.2144775,1
0.8111806,0.2228857,991.1296997,1
0.7899033,0.2143077,957.6118774,0
0.6252941,0.1276468,946.4671021,0
0.7115184,0.1143248,939.1955566,0
0.7179127,0.1304870,932.3557129,0
0.6475728,0.1819618,946.2139893,0
0.6595310,0.2624730,947.2391357,0
0.6547911,0.2565004,954.1785889,0
0.6130303,0.1868840,928.5867920,0
0.6772543,0.1663087,918.5468750,0
0.4390145,0.1648022,886.5073242,0
0.4836964,0.1473611,855.0251465,0
0.5455977,0.1507826,836.0242310,0
0.5464619,0.1140253,783.3732300,0
0.5781553,0.2990598,796.7625732,1
0.4697073,0.4220517,794.8481445,0
0.4031237,0.3739460,781.1763916,1
0.5590041,0.2311413,752.2750244,0
0.6295091,0.1164975,730.8510742,0
0.6400946,0.1111437,753.1093140,0
0.7099660,0.3993762,790.1575928,0
0.7727887,0.6049142,826.2997437,0
0.7631222,0.6191593,856.4866943,0
0.7373013,0.4420374,945.5907593,1
0.7428662,0.2496162,926.1906128,1
0.5802841,0.1521388,900.7672119,1
0.4948092,0.1565350,877.9729004,0
0.4990638,0.2209592,853.7941895,1
0.4279844,0.1902923,847.7106934,1
0.6073748,0.2783809,805.9478760,1
0.6575169,0.1056196,734.3527832,0
0.5403905,0.3410791,817.0159912,0
0.7002192,0.1873279,863.0497437,0
0.6536115,0.1814629,756.1887817,1
0.7906165,0.1119061,777.5073242,0
0.7124684,0.1056398,780.4577026,1
0.5920218,0.1999772,791.1154175,1
0.5651819,0.3945905,842.9275513,1
0.5856083,0.3095866,935.0862427,0
0.5775139,0.0862503,969.4039917,0
0.4986945,0.1725253,940.5184326,0
0.4496143,0.1070339,874.9607544,0
0.7199446,0.1982635,899.0392456,0
0.7613503,0.2743559,844.5019531,0
0.7124857,0.1256039,771.3504639,0
0.5626205,0.1194867,808.6223145,0
0.8863260,0.0283687,742.3963623,0
0.0501657,0.8679996,1708.5828857,0
0.0619666,2.1425674,1291.7818604,1
0.4229383,1.4619662,753.6905518,0
0.0523737,2.0155573,1812.6481934,0
0.0605096,1.5072972,1544.5230713,0
0.0646583,0.4727606,1314.0866699,0
0.0549598,1.1993090,1484.7868652,0
0.0553084,1.0369217,1616.2498779,0
0.0649900,1.6011925,1117.0194092,0
0.0879011,1.5147175,978.8120728,0
0.0593498,1.4375913,1446.9161377,0
0.0623919,0.6619006,889.7026367,1
0.3605783,1.6574382,993.0770264,1
0.0494781,1.5461417,1673.0664062,0
0.0362255,0.5443563,1670.1762695,1
0.0309936,0.6704592,1517.7037354,1
0.0239323,0.6454616,1846.2507324,1
0.0351311,0.2832500,1606.9986572,1
0.3147429,1.0652801,1638.9583740,1
0.2420370,0.2657736,2018.8281250,1
0.3219693,1.4584513,1808.0903320,1
0.2986215,1.5565591,1508.4532471,1
0.2429098,0.8883620,1383.1683350,1
0.4785833,0.5483636,1274.5584717,1
0.6367269,0.3786589,1205.5715332,0
0.4510265,0.2568145,1205.3242188,0
0.6420887,0.3163835,1178.2352295,0
0.7089746,0.2816632,1056.4224854,0
0.7699915,0.1192583,1050.6910400,0
0.7907382,0.1069135,1057.4965820,1
0.7218141,0.1208037,1048.8857422,1
0.7406128,0.2016959,1048.2237549,1
0.7167979,0.2454018,959.9131470,0
0.6874446,0.0719512,912.6150513,0
0.5803739,0.0690949,944.3793945,0
0.6206322,0.1491287,909.6358643,0
0.6723150,0.2021102,914.7111206,0
0.6935290,0.2090103,900.1145020,0
0.5711360,0.1796137,906.3178101,0
0.4961959,0.1686978,893.7185059,1
0.4868662,0.1908170,865.8721313,1
0.4170180,0.1367710,839.0061035,0
0.4024126,0.1522353,816.7890015,0
0.5047102,0.6133399,838.3969727,0
0.4436916,0.8919884,933.9360352,0
0.5801972,0.8938079,1009.0486450,0
0.5152580,0.8747762,909.3930664,0
0.7727908,0.7262297,864.1917725,0
0.7426312,0.5804822,850.0545044,0
0.7613219,0.3812895,788.9588013,0
0.6137631,0.1157438,724.0296021,0
0.6129488,0.2013954,721.3440552,0
0.6606025,0.4611210,756.8253174,0
0.6838177,0.5753685,815.8481445,1
0.6003026,0.4081451,853.9992676,1
0.5403752,0.2141797,865.9636841,1
0.4716351,0.2008233,857.7537842,1
0.4804083,0.1887234,770.3012695,1
0.5707699,0.1727629,776.6298218,1
0.7085550,0.3262947,789.5646362,1
0.7180133,0.2443116,716.3964844,1
0.7351736,0.3966619,778.5384521,1
0.6500203,0.3093191,773.7397461,0
0.7054422,0.0963195,794.7803345,1
0.6046432,0.0536977,752.9167480,1
0.5345953,0.1633124,754.4502563,1
0.5390878,0.3546567,794.6613770,1
0.5147361,0.3313550,859.7204590,1
0.7258843,0.2012321,931.3617554,1
0.6482167,0.2018883,943.1478271,0
0.6351692,0.1682983,920.6499023,0
0.5886222,0.2011990,927.7673340,0
0.7409199,0.2162238,815.9010010,0
0.3839841,0.1438871,853.9209595,0
0.5091410,0.1141509,805.6351318,0
0.6711514,0.2117852,787.6652832,0
0.9557015,0.1005576,737.4041138,0
0.7057695,0.2577321,842.8823853,1
0.7175359,0.2858942,836.5388184,1
0.9389079,0.3667451,726.8068237,0
0.8295438,0.1321256,672.5317993,0
0.9289516,0.1665701,689.5157471,0
0.8099579,0.2789979,705.9859619,1
0.6875001,0.2335779,747.0743408,1
0.6168742,0.1340830,762.2792969,1
0.5937580,0.2698432,686.6897583,1
0.0472748,0.4580802,1665.3250732,0
0.0505208,2.2557995,1400.7042236,0
0.0726729,0.7783072,852.5694580,0
0.0569893,2.5214460,1742.0347900,0
0.0530428,1.1181049,1746.4764404,1
0.0743501,0.5546386,960.9914551,0
0.0557353,1.1179273,1489.3903809,0
0.0620276,1.4897979,1545.6481934,0
0.4154723,1.5994942,896.2130737,0
0.0855514,0.7229356,1051.9033203,0
0.0651722,1.0123261,1273.4135742,0
0.0541277,1.2832994,1160.0235596,1
0.0650662,1.7440346,1461.6112061,0
0.0379569,0.4623203,1811.8505859,0
0.0342424,0.0958674,1256.4317627,1
0.0235349,0.6845285,1721.2167969,1
0.0251486,0.7122625,1728.2366943,1
0.2354264,1.0638323,1889.0660400,1
0.2627688,0.3383141,1921.4371338,1
0.2671506,0.6639073,2030.0162354,1
0.3005258,1.8126888,1774.9213867,1
0.2254569,1.2419047,1434.2458496,1
0.6160632,0.4395133,1383.1850586,1
0.3156526,0.3556589,1305.7381592,1
0.7704077,0.3191365,1230.3212891,0
0.7986031,0.2892589,1127.0573730,0
0.7124453,0.2370628,1132.9716797,0
0.7071560,0.2191562,1083.3529053,0
0.6488072,0.1442491,1019.1160278,0
0.7063625,0.1082273,1006.5471191,0
0.6307828,0.1476335,988.6321411,0
0.6629516,0.1939567,964.0575562,0
0.6162374,0.1981315,942.8051147,0
0.6804358,0.1169670,908.7811890,0
0.6652026,0.1005528,901.8940430,0
0.5849374,0.0993032,869.0199585,0
0.5797262,0.0355096,875.2669067,0
0.5626100,0.0375593,874.3518066,0
0.4606916,0.0702115,862.6752319,0
0.4341439,0.1646578,860.6466064,1
0.4270294,0.0729536,814.2942505,0
0.4183124,0.6830376,845.3740234,0
0.3952870,1.0338544,990.9217529,0
0.5277255,0.8709375,1100.7353516,0
0.7687410,0.7206324,1125.5708008,0
0.7734275,0.8554358,1059.3352051,0
0.7951897,0.8080984,996.1129761,0
0.8382413,0.6781135,936.0380859,0
0.8149622,0.6924284,855.7952881,0
0.7010833,0.5736185,791.6072388,0
0.7169662,0.3170800,761.4412231,0
0.5708022,0.0532840,707.6771851,0
0.6251783,0.2259764,723.9102783,1
0.5439101,0.4028109,796.7217407,1
0.6065447,0.3982604,836.9666138,1
0.6969113,0.1441469,835.9937134,1
0.8270724,0.2158548,843.5891724,1
0.6819680,0.2862647,792.6284180,1
0.7446520,0.3120934,723.0384521,1
0.7458236,0.1854137,670.6697998,1
0.5900569,0.2236277,689.1325073,1
0.6117693,0.2882812,701.0184326,0
0.6920115,0.2738038,780.9259033,0
0.5630465,0.1448733,769.2086182,1
0.5586690,0.2985473,762.9309082,1
0.5412315,0.3513944,892.6036377,1
0.7111015,0.1108899,913.6888428,1
0.6031544,0.2196021,892.3181763,1
0.6957287,0.2284508,882.1542358,0
0.7512795,0.1279984,877.5759888,0
0.6667072,0.1100694,886.5425415,0
0.4718694,0.2322517,859.1563721,0
0.4797543,0.1218129,789.1975708,0
0.5453979,0.1006869,829.1388550,0
0.6649336,0.3098193,811.0576172,0
0.8625105,0.1661084,699.5072632,0
0.7435721,0.2955037,843.4638062,1
0.9099789,0.2244359,804.2823486,0
0.9176483,0.3011296,763.2239380,0
0.9040829,0.3011519,715.3189697,1
0.8014988,0.1959414,653.6720581,0
0.8016685,0.0479756,658.8599854,0
0.7172227,0.2293932,657.2615356,0
0.6852728,0.1952923,753.2130737,0
0.5699636,0.3092501,696.2901611,1
0.0549412,0.6642079,1548.8754883,0
0.0684931,1.6212556,1171.1752930,0
0.0687746,0.9775423,982.6553955,0
0.0580624,1.3121704,870.7585449,0
0.0604646,0.8026071,1477.3489990,1
0.0651270,1.0069520,1590.4725342,0
0.0627265,1.3314855,1373.0021973,0
0.0540464,1.2605604,1676.0477295,0
0.4804838,1.6631001,861.3242188,0
0.0736281,0.4440639,1092.7460938,0
0.0508211,1.3335193,1410.7988281,1
0.0598976,0.8804936,1091.0427246,1
0.0500738,1.9722402,1820.7482910,0
0.0480004,1.2078413,1532.6994629,1
0.0288889,1.1930568,1749.4443359,1
0.2167515,0.5835616,1623.3079834,1
0.0253245,1.6470479,1658.4125977,1
0.1720125,0.5267645,2317.7302246,1
0.2713344,0.3503509,1777.9940186,1
0.2311167,0.1682921,2047.4276123,1
0.2574930,1.9271706,1938.3457031,1
0.2617346,1.5490024,1382.9865723,1
0.3780573,0.4931349,1275.7530518,1
0.5943777,0.4238430,1203.9106445,1
0.7684324,0.2940776,1156.7137451,0
0.6659800,0.2139285,1158.9570312,1
0.6488975,0.2494076,1098.9086914,1
0.6817260,0.2216155,1049.1905518,0
0.7360275,0.1282532,1019.5484619,0
